Date,Net_Sales,Orders,Guests,holiday,is_gameday,is_pride_festival,is_arnold,Average Temp (°F),Average Humidity (%),Common Weather Description
1/18/2024,2360.41,55,88,,No,No,No,26.13,51.27,overcast clouds
1/19/2024,5073.84,95,188,,No,No,No,24.22,83.64,light snow
1/20/2024,9113.04,159,355,,No,No,No,11.51,74.64,light snow
1/21/2024,3590.85,60,139,,No,No,No,19.81,75.82,overcast clouds
1/22/2024,2288.59,54,111,,No,No,No,26.5,67.36,sky is clear
1/23/2024,2939.37,64,114,,No,No,No,37.36,82.5,light rain
1/24/2024,3032.25,70,122,,No,No,No,46.56,97.55,moderate rain
1/25/2024,3042.79,61,129,,No,No,No,52.96,98.07,light rain
1/26/2024,7394.04,137,300,,No,No,No,50.91,89.73,overcast clouds
1/27/2024,8624.44,154,381,,No,No,No,42.23,94.45,overcast clouds
1/28/2024,3146.42,57,127,,No,No,No,40.89,95.64,light rain
1/29/2024,1833.35,48,82,,No,No,No,35.18,86.45,overcast clouds
1/30/2024,3289.26,59,120,,No,No,No,35.72,86.27,overcast clouds
1/31/2024,4641.01,84,159,,No,No,No,37.15,90.55,overcast clouds
2/1/2024,3296.17,73,126,,No,No,No,43.31,77.82,sky is clear
2/2/2024,7108.9,139,261,,No,No,No,43.11,73.91,overcast clouds
2/3/2024,9061.86,155,344,,No,No,No,36.68,80.27,sky is clear
2/4/2024,4321.38,82,175,,No,No,No,41.85,66.82,sky is clear
2/5/2024,2532.26,58,99,,No,No,No,39.75,69.27,sky is clear
2/6/2024,2742.28,60,104,,No,No,No,38.72,67.27,sky is clear
2/7/2024,3196.65,74,123,,No,No,No,41.45,57.64,sky is clear
2/8/2024,3184.92,62,131,,No,No,No,50.76,49.27,sky is clear
2/9/2024,6555.46,123,273,,No,No,No,56.09,66.55,scattered clouds
2/10/2024,8028.66,144,330,,No,No,No,56.33,83.64,light rain
2/11/2024,1629.47,31,74,,No,No,No,41.9,72.91,overcast clouds
2/12/2024,1457.9,39,58,,No,No,No,38.7,72.82,sky is clear
2/13/2024,3374.48,73,114,,No,No,No,39.36,63.09,scattered clouds
2/14/2024,6248.89,114,235,Valentine's Day,No,No,No,38.22,55,sky is clear
2/15/2024,3885.68,83,167,,No,No,No,43.45,64.18,sky is clear
2/16/2024,4314.65,79,154,,No,No,No,33.78,64.91,overcast clouds
2/17/2024,9814.4,166,393,,No,No,No,23.65,75.73,light snow
2/18/2024,5649.93,92,228,,No,No,No,24.98,65.55,sky is clear
2/19/2024,4361.4,94,180,,No,No,No,32.56,71.27,sky is clear
2/20/2024,3240.35,62,105,,No,No,No,40.82,59.45,sky is clear
